Time,Value
2024-08-09 17:27:15,51.6877402724384
2024-08-09 17:27:30,51.59885335881425
2024-08-09 17:27:45,51.68888888888888
2024-08-09 17:28:00,51.68888888888888
2024-08-09 17:28:15,51.68659170703524
2024-08-09 17:28:30,51.59770676858806
2024-08-09 17:28:45,51.68774027243839
2024-08-09 17:29:00,51.68888888888888
2024-08-09 17:29:15,51.68888888888888
2024-08-09 17:29:30,51.59770676858806
2024-08-09 17:29:45,51.6877402724384
2024-08-09 17:30:00,51.6877402724384
2024-08-09 17:30:15,51.68888888888888
2024-08-09 17:30:30,51.598853358814246
2024-08-09 17:30:45,51.68774027243839
2024-08-09 17:31:00,51.68774027243839
2024-08-09 17:31:15,51.68774027243839
2024-08-09 17:31:30,51.598853358814246
2024-08-09 17:31:45,51.68659170703524
2024-08-09 17:32:00,51.68888888888888
2024-08-09 17:32:15,51.6877402724384
